video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=vvgxkED9L1U&pp=ygUOZWF0aW5nIGhlYWx0aHk%3D,/@LetsEatPlants,Let's Eat Plants,Healthy Eating Habits that will Change your Life!,11K,4 weeks,"My top 10 practical tips and simple strategies to make 2024 your healthiest year yet! Let's use this year to make delicious, ...",2024-01-28 19:43:35.896572
/shorts/tVutt0YLjWs,/@HamzaUniverse_,HamzaUniverse,How To Start Eating Healthy,383K,1 year,hamza #shorts #health #eating #food Watch the video here https://www.youtube.com/watch?v=mP78d2JeY1o.,2024-01-28 19:43:35.898777
/watch?v=Q4yUlJV31Rk&pp=ygUOZWF0aW5nIGhlYWx0aHk%3D,/@TEDx,TEDx Talks,How to make healthy eating unbelievably easy | Luke Durward | TEDxYorkU,6.3M,9 years,"After breaking his leg, undergraduate student Luke Durward used his time to return home and mentor his little brother on healthy ...",2024-01-28 19:43:42.266111
/watch?v=iyfuQZft3LE&pp=ygUOZWF0aW5nIGhlYWx0aHk%3D,/@BrittanyLupton,Brittany Lupton,"what i eat in a day | eating intuitively, healthy recipes, go to snacks, tips for eating healthy",9.7K,3 days,"what i eat in a day | eating intuitively, healthy recipes, go to snacks, tips for eating healthy #whatieatinaday #healthyrecipes ...",2024-01-28 19:43:42.267649
/watch?v=gMdSUB-Lbp8&pp=ygUOZWF0aW5nIGhlYWx0aHk%3D,/@gravitasdocumentaries,Gravitas Documentaries,"Eating You Alive - Diet, Health and Wellness Documentary",1.2M,1 year,Nearly 30.4 million people die each year from chronic diseases and $3.8 trillion is spent in healthcare costs in the U.S. alone for ...,2024-01-28 19:43:42.272637
/watch?v=AjrvVQ7DHb4&pp=ygUOZWF0aW5nIGhlYWx0aHk%3D,/@jjvirginvideos,JJ Virgin,Foods I Eat EVERY DAY As a Nutrition Expert 🌿🍎🥦,447K,7 months,"These are the foods I eat EVERY DAY as a nutrition expert, and you should too... These fat loss foods are amazing at keeping the ...",2024-01-28 19:43:42.274474
/watch?v=jdsn8t7mCkQ&pp=ygUOZWF0aW5nIGhlYWx0aHk%3D,/@lewishowes,Lewis Howes,"HEALTHY FOODS That Heal The Body, Starve Cancer & PREVENT DISEASE! | Dr. William Li & Lewis Howes",4.9M,2 years,"William W. Li, MD, is a world-renowned physician, scientist, speaker, and author of EAT TO BEAT DISEASE – The New Science of ...",2024-01-28 19:43:42.277362
/watch?v=2kCOXLkbsKw&pp=ygUOZWF0aW5nIGhlYWx0aHk%3D,/@CHRISHERIA,CHRIS HERIA,How To Start Eating Healthy (LIFE CHANGING),5.4M,3 years,Join Chris Heria as he shows you How To Start Eating Healthy to begin changing your life today. Follow along with him as he ...,2024-01-28 19:43:42.279631
/watch?v=jwWpTAXu-Sg&pp=ygUOZWF0aW5nIGhlYWx0aHk%3D,/@CleanandDeliciousDani,Clean & Delicious,BEGINNERS GUIDE TO HEALTHY EATING | 15 healthy eating tips,1.8M,6 years,"▶︎ As a thank-you for pre-ordering the book, I am gifting you my two e-books (Banana Nice Cream and Easy & Yummy Salad ...",2024-01-28 19:43:42.281973
/shorts/0H7gHXrMC60,/@Sambucha,Sambucha,Healthy or Unhealthy Foods?,4.9M,8 months,Subscribe and you'll have good luck forever :) Check out my other socials! Instagram ...,2024-01-28 19:43:42.284142
